claim_id,company,text,my_label,note
goog_sr_091,Alphabet,"Perfluorocarbons (PFCs), sulfur hexafluoride (SF6), and nitrogen trifluoride (NF3) are not emitted as a result of Alphabet's operations.",,
amzn_sr_296,Amazon,Amazon matched 100% of its electricity consumption with renewable energy for the third consecutive year in 2025.,,
goog_sr_065,Alphabet,"In 2024, Google estimates its ambition-based emissions were 66% lower than they would have been without clean energy procurement, machine hardware efficiencies, and PUE improvements.",,
goog_sr_108,Alphabet,We then procure renewable electricity through contractual instruments to achieve our 100% renewable energy match.,,
goog_sr_028,Alphabet,"In Latin America, Alphabet's regional average Google CFE was 92%.",,
msft_sr_204,Microsoft,Microsoft's agriculture and irrigation efficiency projects are projected to save 20 million cubic meters of water over their lifetimes.,,
goog_sr_017,Alphabet,Alphabet's data center electricity consumption increased 27% year-on-year in 2024.,,
amzn_sr_314,Amazon,Amazon data centers and services in 35 countries were ISO 50001 Energy Management certified in 2025.,,
msft_sr_148,Microsoft,Renewable diesel is now in use in Microsoft's road freight operations in Europe and California.,,
amzn_sr_339,Amazon,"At the end of 2025, we had invested in 45 replenishment projects globally.",,
goog_sr_041,Alphabet,"In 2024, we diverted 85% of food waste from landfill through composting, donations, or other recovery efforts.",,
goog_sr_019,Alphabet,"From 2010 to 2024, Alphabet signed more than 170 agreements to purchase over 22 GW of clean energy generation.",,
amzn_sr_353,Amazon,"In 2025, 2% of Amazon's waste was diverted through incineration with energy recovery.",,
amzn_sr_348,Amazon,Amazon is piloting air-cooled heat sinks with 50% recycled aluminum.,,
msft_sr_234,Microsoft,Plastic laminate films were eliminated through paper-based labels and coatings in Xbox console packaging.,,
goog_sr_027,Alphabet,"In North America, Alphabet's regional average Google CFE was 70%.",,
goog_sr_141,Alphabet,"Google's earliest fleet-wide trailing 12-month PUE was 1.21 in 2008, used as a baseline for avoided emissions calculations.",,
msft_sr_168,Microsoft,Chip-level liquid cooling eliminates the need for evaporation to align with Microsoft's water positive 2030 commitment.,,
msft_sr_214,Microsoft,Improvements surfaced in our 2022 audit eliminated 90% of excess water use instances.,,
goog_sr_001,Alphabet,Google reduced data center energy emissions by 12% in 2024.,,
