claim_id,company,text,flags,vagueness,llm_label,llm_reason
goog_sr_001,Alphabet,Google reduced data center energy emissions by 12% in 2024.,NO_BASELINE_YEAR;SCOPE_BOUNDARY_UNCLEAR,0.15,C,"Reports a 12% reduction without specifying the baseline year, scope boundary, or accounting methodology, making the figure unverifiable and potentially cherry-picked."
goog_sr_002,Alphabet,Google signed contracts for 8 GW of new clean energy generation in 2024.,SCOPE_BOUNDARY_UNCLEAR,0.15,A,"Concrete, quantified figure (8 GW of PPAs signed in 2024) that is independently verifiable through contract disclosures, though 'clean energy' boundary is not fully defined."
goog_sr_004,Alphabet,Google signed its first power purchase agreement in 2010.,GRID_MISMATCH_RISK,0.15,A,Specific historical fact (first PPA signed in 2010) that is publicly documented and independently verifiable.
goog_sr_016,Alphabet,"In 2024, Alphabet reduced its data center energy emissions by 12% compared to 2023.",SCOPE_BOUNDARY_UNCLEAR,0.15,A,"Provides a specific percentage reduction with a clear baseline year (2023) and named boundary (data center energy emissions), though scope accounting method is not stated."
goog_sr_018,Alphabet,"In 2024, Alphabet signed contracts to purchase over 8 GW of additional clean energy generation, the largest annual total in its history and twice the volume contracted the prior year.",SCOPE_BOUNDARY_UNCLEAR,0.15,A,"Specific, quantified claim (over 8 GW in 2024) with comparative context (largest annual total, twice prior year volume) that is independently verifiable from contract records."
goog_sr_029,Alphabet,Alphabet is advancing solar aggregation and piloting investments in new clean energy projects in Asia Pacific.,,0.7,B,"Vague language ('advancing,' 'piloting') with no specific targets, timelines, or measurable commitments makes this unfalsifiable rhetoric."
goog_sr_031,Alphabet,Alphabet developed a free Energy Assessment tool designed to help supplier facility managers identify energy efficiency opportunities across their operations.,,0.7,B,"Describes a tool's existence and purpose but provides no metrics on adoption, energy savings achieved, or supplier participation, making impact unverifiable."
goog_sr_034,Alphabet,"Ironwood is Alphabet's most powerful, capable and energy efficient TPU yet, designed to power thinking, inferential AI models at scale.",,0.7,B,"Superlative claims ('most powerful, capable and energy efficient') without any specific benchmarks or comparative figures are unfalsifiable marketing language."
goog_sr_042,Alphabet,"By 2020, we had already reached 94% plastic-free packaging.",FUTURE_PROMISE_NO_MILESTONE,0.15,A,"Specific, historical, and quantified claim (94% plastic-free packaging by 2020) with a clear metric and timeframe that is independently verifiable."
goog_sr_052,Alphabet,"Alphabet has an aspiration to help individuals, cities, and other partners collectively reduce 1 gigaton of carbon equivalent emissions annually by 2030.",SCOPE_BOUNDARY_UNCLEAR,0.25,C,"Framed as an 'aspiration' with a distant 2030 endpoint and no interim milestones, and the 1 Gt target covers third-party emissions rather than Alphabet's own, creating a misleading impression of climate ambition."
goog_sr_061,Alphabet,"In 2024, Google achieved approximately 66% global average carbon-free energy across its data centers and offices.",SCOPE2_METHOD_UNSTATED,0.15,A,"Provides a specific percentage (66%) for a defined year (2024) with a clear boundary (data centers and offices), though the carbon-free energy accounting method (market-based vs. location-based) is not stated, which mildly limits verifiability."
goog_sr_062,Alphabet,Google aims to run on 24/7 carbon-free energy on every grid where it operates by 2030.,SCOPE2_METHOD_UNSTATED;SCOPE_BOUNDARY_UNCLEAR;FUTURE_PROMISE_NO_MILESTONE,0.25,C,A 2030 pledge with no interim milestones and no specification of accounting method; framing 24/7 carbon-free energy as a future commitment without checkable progress steps creates a misleadingly confident impression.
goog_sr_071,Alphabet,The standardized nature of Google's data center designs allows reduction of the materials required for construction.,,0.7,B,"Vague, unfalsifiable claim about standardized designs 'allowing reduction' of materials with no quantified reduction, baseline, or independent verification."
goog_sr_073,Alphabet,Optimizations to Google's standard data center design collectively have the potential to reduce the embodied carbon emissions intensity of a data center building by around 9%.,NO_BASELINE_YEAR;SCOPE_BOUNDARY_UNCLEAR,0.35,B,"The ~9% reduction in embodied carbon intensity is presented as a potential estimate with no baseline year, no boundary specification, and no methodology to allow independent verification."
goog_sr_074,Alphabet,The use of low-carbon construction materials is part of Google's work to reduce data center construction emissions.,,0.7,B,"Purely rhetorical statement with no quantification, scope, or verifiable specifics about the use of low-carbon materials or its impact."
goog_sr_083,Alphabet,"In 2021, Google joined the UN Race to Zero Campaign, the largest ever alliance committed to halving emissions by 2030 and achieving net-zero emissions by no later than 2050.",OFFSET_UNDISCLOSED;SCOPE_BOUNDARY_UNCLEAR;FUTURE_PROMISE_NO_MILESTONE,0.25,C,"Describes joining an alliance with net-zero and halving-emissions pledges but provides no interim milestones for Google itself, no disclosure of how net-zero will be achieved (offsets vs. real reductions), creating a misleadingly ambitious impression."
goog_sr_084,Alphabet,"In 2022, Google co-founded Frontier, an advance market commitment that will accelerate the development of carbon removal technologies by guaranteeing future demand.",FUTURE_PROMISE_NO_MILESTONE,0.15,A,"Concrete, verifiable factual claim about co-founding Frontier in 2022, an advance market commitment for carbon removal, with a specific mechanism described; the future-promise flag is about Frontier's purpose, not an unsubstantiated Google pledge."
goog_sr_088,Alphabet,Alphabet uses the operational control approach to define its organizational boundary for GHG emissions accounting.,,0.7,A,"Clearly states the GHG accounting methodology (operational control approach) and organizational boundary, which is a verifiable and substantiated disclosure."
goog_sr_089,Alphabet,"Alphabet accounts for all emissions from operations over which it has operational control, including data centers, offices, and other assets.",,0.7,A,"Specifies the boundary of emissions accounting (operational control, covering data centers, offices, and other assets), which is consistent with standard GHG Protocol methodology and independently verifiable."
